"","p","b","e","w"
"2297",0.9,17168,23500,26000
"2298",0.9,17168,23500,26000
"2299",0.9,17168,23500,26000
"2300",0.9,17168,23500,26000
"2301",0.9,17168,23500,26000
"2302",0.9,17168,23500,26000
"2303",0.95,24000,53895,80000
"2304",0.95,24000,53895,80000
"2305",0.95,24000,53895,80000
"2306",0.95,24000,53895,80000
"2307",0.95,24000,53895,80000
"2308",0.95,24000,53895,80000
"2309",0.95,24000,53895,80000
"2310",0.95,24000,53895,80000
"2311",0.95,24000,53895,80000
"2312",0.95,24000,53895,80000
"2313",0.95,24000,53895,80000
"2314",0.95,24000,53895,80000
"2315",0.95,24000,53895,80000
"2316",0.95,24000,53895,80000
"2317",0.95,24000,53895,80000
"2318",0.6,2e+05,3e+05,5e+05
"2319",0.6,2e+05,3e+05,5e+05
"2320",0.6,2e+05,3e+05,5e+05
"2321",0.6,2e+05,3e+05,5e+05
"2322",0.6,2e+05,3e+05,5e+05
"2323",0.6,2e+05,3e+05,5e+05
"2324",0.6,2e+05,3e+05,5e+05
"2325",0.6,2e+05,3e+05,5e+05
"2326",0.6,2e+05,3e+05,5e+05
"2327",0.6,2e+05,3e+05,5e+05
"2328",0.6,2e+05,3e+05,5e+05
"2329",0.6,2e+05,3e+05,5e+05
"2330",0.6,2e+05,3e+05,5e+05
"2331",0.6,2e+05,3e+05,5e+05
"2332",0.6,2e+05,3e+05,5e+05
"2333",0.6,50000,1e+05,250000
"2334",0.6,50000,1e+05,250000
"2335",0.6,50000,1e+05,250000
"2336",0.6,50000,1e+05,250000
"2337",0.6,50000,1e+05,250000
"2338",0.6,50000,1e+05,250000
"2339",0.6,50000,1e+05,250000
"2340",0.6,50000,1e+05,250000
"2341",0.6,50000,1e+05,250000
"2342",0.6,50000,1e+05,250000
"2343",0.6,50000,1e+05,250000
"2344",0.6,50000,1e+05,250000
"2345",0.6,50000,1e+05,250000
"2346",0.6,50000,1e+05,250000
"2347",0.6,50000,1e+05,250000
"2348",0.6,50000,1e+05,250000
"2349",0.5,20000,30000,40000
"2350",0.5,20000,30000,40000
"2351",0.5,20000,30000,40000
"2352",0.5,20000,30000,40000
"2353",0.5,20000,30000,40000
"2354",0.5,20000,30000,40000
"2355",0.5,20000,30000,40000
"2356",0.5,20000,30000,40000
"2357",0.5,20000,30000,40000
"2358",0.5,20000,30000,40000
"2359",0.5,20000,30000,40000
"2360",0.5,20000,30000,40000
"2361",0.5,20000,30000,40000
"2362",0.5,20000,30000,40000
"2363",0.5,20000,30000,40000
"2364",0.5,32000,36000,40000
"2365",0.5,32000,36000,40000
"2366",0.5,32000,36000,40000
"2367",0.5,32000,36000,40000
"2368",0.5,32000,36000,40000
"2369",0.5,32000,36000,40000
"2370",0.5,32000,36000,40000
"2371",0.5,32000,36000,40000
"2372",0.5,32000,36000,40000
"2373",0.5,32000,36000,40000
"2374",0.5,32000,36000,40000
"2375",0.5,32000,36000,40000
"2376",0.5,32000,36000,40000
"2377",0.5,32000,36000,40000
"2378",0.5,198000,396000,594000
"2379",0.5,198000,396000,594000
"2380",0.5,198000,396000,594000
"2381",0.5,198000,396000,594000
"2382",0.5,198000,396000,594000
"2383",0.5,198000,396000,594000
"2384",0.5,198000,396000,594000
"2385",0.5,198000,396000,594000
"2386",0.5,198000,396000,594000
"2387",0.5,198000,396000,594000
"2388",0.5,50000,1e+05,150000
"2389",0.5,50000,1e+05,150000
"2390",0.5,50000,1e+05,150000
"2391",0.5,50000,1e+05,150000
"2392",0.5,50000,1e+05,150000
"2393",0.5,50000,1e+05,150000
"2394",0.5,50000,1e+05,150000
"2395",0.5,50000,1e+05,150000
"2396",0.5,50000,1e+05,150000
"2397",0.5,50000,1e+05,150000
"2398",0.5,50000,1e+05,150000
"2399",0.5,50000,1e+05,150000
"2400",0.5,50000,1e+05,150000
"2401",0.5,50000,1e+05,150000
"2402",0.5,50000,1e+05,150000
"2403",0.5,50000,1e+05,150000
"2404",0.5,50000,1e+05,150000
"2405",0.5,50000,1e+05,150000
"2406",0.5,50000,1e+05,150000
"2407",0.5,50000,1e+05,150000
"2408",0.5,50000,1e+05,150000
"2409",0.5,50000,1e+05,150000
"2410",0.7,157520,187520,217520
"2411",0.7,157520,187520,217520
"2412",0.7,157520,187520,217520
"2413",0.7,157520,187520,217520
"2414",0.7,157520,187520,217520
"2415",0.18,4e+05,5e+05,6e+05
"2416",0.18,4e+05,5e+05,6e+05
"2417",0.18,4e+05,5e+05,6e+05
"2418",0.18,4e+05,5e+05,6e+05
"2419",0.18,4e+05,5e+05,6e+05
"2420",0.18,4e+05,5e+05,6e+05
"2421",0.18,4e+05,5e+05,6e+05
"2422",0.18,4e+05,5e+05,6e+05
"2423",0.18,4e+05,5e+05,6e+05
"2424",0.18,4e+05,5e+05,6e+05
"2425",0.18,4e+05,5e+05,6e+05
"2426",0.18,4e+05,5e+05,6e+05
"2427",0.18,4e+05,5e+05,6e+05
"2428",0.18,4e+05,5e+05,6e+05
"2429",0.18,4e+05,5e+05,6e+05
"2430",0.18,4e+05,5e+05,6e+05
"2431",0.18,4e+05,5e+05,6e+05
"2432",0.18,4e+05,5e+05,6e+05
"2433",0.18,4e+05,5e+05,6e+05
"2434",0.18,4e+05,5e+05,6e+05
"2435",0.18,4e+05,5e+05,6e+05
"2436",0.18,4e+05,5e+05,6e+05
"2437",0.18,4e+05,5e+05,6e+05
"2438",0.18,4e+05,5e+05,6e+05
"2439",0.18,4e+05,5e+05,6e+05
"2440",0.18,4e+05,5e+05,6e+05
"2441",0.18,4e+05,5e+05,6e+05
"2442",0.18,4e+05,5e+05,6e+05
"2443",0.18,4e+05,5e+05,6e+05
"2444",0.18,4e+05,5e+05,6e+05
"2445",0.18,4e+05,5e+05,6e+05
"2446",0.18,4e+05,5e+05,6e+05
"2447",0.18,4e+05,5e+05,6e+05
"2448",0.18,4e+05,5e+05,6e+05
"2449",0.7,40000,50000,60000
"2450",0.7,40000,50000,60000
"2451",0.7,40000,50000,60000
"2452",0.7,40000,50000,60000
"2453",0.7,40000,50000,60000
"2454",0.7,40000,50000,60000
"2455",0.7,40000,50000,60000
"2456",0.7,40000,50000,60000
"2457",0.7,40000,50000,60000
"2458",0.7,40000,50000,60000
"2459",0.7,40000,50000,60000
"2460",0.7,40000,50000,60000
"2461",0.7,40000,50000,60000
"2462",0.7,40000,50000,60000
"2463",0.7,40000,50000,60000
"2464",0.7,40000,50000,60000
"2465",0.7,40000,50000,60000
"2466",0.5,4e+05,5e+05,6e+05
"2467",0.5,4e+05,5e+05,6e+05
"2468",0.5,4e+05,5e+05,6e+05
"2469",0.5,4e+05,5e+05,6e+05
"2470",0.5,4e+05,5e+05,6e+05
"2471",0.5,4e+05,5e+05,6e+05
"2472",0.5,4e+05,5e+05,6e+05
"2473",0.5,4e+05,5e+05,6e+05
"2474",0.5,4e+05,5e+05,6e+05
"2475",0.5,4e+05,5e+05,6e+05
"2476",0.5,4e+05,5e+05,6e+05
"2477",0.5,4e+05,5e+05,6e+05
"2478",0.5,4e+05,5e+05,6e+05
"2479",0.5,4e+05,5e+05,6e+05
"2480",0.5,4e+05,5e+05,6e+05
"2481",0.5,4e+05,5e+05,6e+05
"2482",0.5,4e+05,5e+05,6e+05
"2483",0.5,640000,8e+05,960000
"2484",0.5,640000,8e+05,960000
"2485",0.5,640000,8e+05,960000
"2486",0.5,640000,8e+05,960000
"2487",0.5,640000,8e+05,960000
"2488",0.5,640000,8e+05,960000
"2489",0.5,640000,8e+05,960000
"2490",0.5,640000,8e+05,960000
"2491",0.5,640000,8e+05,960000
"2492",0.5,640000,8e+05,960000
"2493",0.5,640000,8e+05,960000
"2494",0.5,640000,8e+05,960000
"2495",0.5,640000,8e+05,960000
"2496",0.5,640000,8e+05,960000
"2497",0.5,640000,8e+05,960000
"2498",0.5,640000,8e+05,960000
"2499",0.5,640000,8e+05,960000
"2500",0.5,24000,30000,36000
"2501",0.5,24000,30000,36000
"2502",0.5,24000,30000,36000
"2503",0.5,24000,30000,36000
"2504",0.5,24000,30000,36000
"2505",0.5,24000,30000,36000
"2506",0.5,24000,30000,36000
"2507",0.63,24000,30000,36000
"2508",0.63,24000,30000,36000
"2509",0.63,24000,30000,36000
"2510",0.63,24000,30000,36000
"2511",0.63,24000,30000,36000
"2512",0.63,24000,30000,36000
"2513",0.63,24000,30000,36000
"2514",0.63,24000,30000,36000
"2515",0.63,24000,30000,36000
"2516",0.63,24000,30000,36000
"2517",0.5,12000,15000,18000
"2518",0.5,12000,15000,18000
"2519",0.5,12000,15000,18000
"2520",0.5,12000,15000,18000
"2521",0.5,12000,15000,18000
"2522",0.5,12000,15000,18000
"2523",0.5,12000,15000,18000
"2524",0.63,12000,15000,18000
"2525",0.63,12000,15000,18000
"2526",0.63,12000,15000,18000
"2527",0.63,12000,15000,18000
"2528",0.63,12000,15000,18000
"2529",0.63,12000,15000,18000
"2530",0.63,12000,15000,18000
"2531",0.63,12000,15000,18000
"2532",0.63,12000,15000,18000
"2533",0.63,12000,15000,18000
"2534",0.25,80000,1e+05,120000
"2535",0.25,80000,1e+05,120000
"2536",0.25,80000,1e+05,120000
"2537",0.25,80000,1e+05,120000
"2538",0.25,80000,1e+05,120000
"2539",0.25,80000,1e+05,120000
"2540",0.25,80000,1e+05,120000
"2541",0.25,80000,1e+05,120000
"2542",0.25,80000,1e+05,120000
"2543",0.25,80000,1e+05,120000
"2544",0.25,80000,1e+05,120000
"2545",0.25,80000,1e+05,120000
"2546",0.25,80000,1e+05,120000
"2547",0.25,80000,1e+05,120000
"2548",0.25,80000,1e+05,120000
"2549",0.25,80000,1e+05,120000
"2550",0.25,80000,1e+05,120000
"2551",0.25,16000,20000,24000
"2552",0.25,16000,20000,24000
"2553",0.25,16000,20000,24000
"2554",0.25,16000,20000,24000
"2555",0.25,16000,20000,24000
"2556",0.25,16000,20000,24000
"2557",0.25,16000,20000,24000
"2558",0.25,16000,20000,24000
"2559",0.25,16000,20000,24000
"2560",0.25,16000,20000,24000
"2561",0.25,16000,20000,24000
"2562",0.25,16000,20000,24000
"2563",0.25,16000,20000,24000
"2564",0.25,16000,20000,24000
"2565",0.25,16000,20000,24000
"2566",0.25,16000,20000,24000
"2567",0.25,16000,20000,24000
"2568",0.5,32000,40000,48000
"2569",0.5,32000,40000,48000
"2570",0.5,32000,40000,48000
"2571",0.5,32000,40000,48000
"2572",0.5,32000,40000,48000
"2573",0.5,32000,40000,48000
"2574",0.5,32000,40000,48000
"2575",0.5,32000,40000,48000
"2576",0.5,32000,40000,48000
"2577",0.5,32000,40000,48000
"2578",0.5,32000,40000,48000
"2579",0.5,32000,40000,48000
"2580",0.5,32000,40000,48000
"2581",0.5,32000,40000,48000
"2582",0.5,32000,40000,48000
"2583",0.5,32000,40000,48000
"2584",0.5,32000,40000,48000
"2585",0.3,48000,60000,72000
"2586",0.3,48000,60000,72000
"2587",0.3,48000,60000,72000
"2588",0.3,48000,60000,72000
"2589",0.3,48000,60000,72000
"2590",0.3,48000,60000,72000
"2591",0.3,48000,60000,72000
"2592",0.3,48000,60000,72000
"2593",0.3,48000,60000,72000
"2594",0.3,48000,60000,72000
"2595",0.3,48000,60000,72000
"2596",0.3,48000,60000,72000
"2597",0.3,48000,60000,72000
"2598",0.3,48000,60000,72000
"2599",0.3,48000,60000,72000
"2600",0.3,48000,60000,72000
"2601",0.3,48000,60000,72000
"2602",0.5,6400,8000,9600
"2603",0.5,6400,8000,9600
"2604",0.5,6400,8000,9600
"2605",0.5,6400,8000,9600
"2606",0.5,6400,8000,9600
"2607",0.5,6400,8000,9600
"2608",0.5,6400,8000,9600
"2609",0.5,6400,8000,9600
"2610",0.5,6400,8000,9600
"2611",0.5,6400,8000,9600
"2612",0.5,6400,8000,9600
"2613",0.5,6400,8000,9600
"2614",0.5,6400,8000,9600
"2615",0.5,6400,8000,9600
"2616",0.5,6400,8000,9600
"2617",0.5,6400,8000,9600
"2618",0.5,6400,8000,9600
"2619",0.5,16000,20000,24000
"2620",0.5,16000,20000,24000
"2621",0.5,16000,20000,24000
"2622",0.5,16000,20000,24000
"2623",0.5,16000,20000,24000
"2624",0.5,16000,20000,24000
"2625",0.5,16000,20000,24000
"2626",0.5,16000,20000,24000
"2627",0.5,16000,20000,24000
"2628",0.5,16000,20000,24000
"2629",0.5,16000,20000,24000
"2630",0.5,16000,20000,24000
"2631",0.5,16000,20000,24000
"2632",0.5,16000,20000,24000
"2633",0.5,16000,20000,24000
"2634",0.5,16000,20000,24000
"2635",0.5,16000,20000,24000
"2636",0.5,8000,10000,12000
"2637",0.5,8000,10000,12000
"2638",0.5,8000,10000,12000
"2639",0.5,8000,10000,12000
"2640",0.5,8000,10000,12000
"2641",0.5,8000,10000,12000
"2642",0.5,8000,10000,12000
"2643",0.5,8000,10000,12000
"2644",0.5,8000,10000,12000
"2645",0.5,8000,10000,12000
"2646",0.5,8000,10000,12000
"2647",0.5,8000,10000,12000
"2648",0.5,8000,10000,12000
"2649",0.5,8000,10000,12000
"2650",0.5,8000,10000,12000
"2651",0.5,8000,10000,12000
"2652",0.5,8000,10000,12000
"2653",0.5,48000,60000,72000
"2654",0.5,48000,60000,72000
"2655",0.5,48000,60000,72000
"2656",0.5,48000,60000,72000
"2657",0.5,48000,60000,72000
"2658",0.5,48000,60000,72000
"2659",0.5,48000,60000,72000
"2660",0.63,48000,60000,72000
"2661",0.63,48000,60000,72000
"2662",0.63,48000,60000,72000
"2663",0.63,48000,60000,72000
"2664",0.63,48000,60000,72000
"2665",0.63,48000,60000,72000
"2666",0.63,48000,60000,72000
"2667",0.63,48000,60000,72000
"2668",0.63,48000,60000,72000
"2669",0.63,48000,60000,72000
"2670",0.7,20000,25000,30000
"2671",0.7,20000,25000,30000
"2672",0.7,20000,25000,30000
"2673",0.7,20000,25000,30000
"2674",0.7,20000,25000,30000
"2675",0.7,20000,25000,30000
"2676",0.7,20000,25000,30000
"2677",0.7,101000,300500,5e+05
"2678",0.7,101000,300500,5e+05
"2679",0.7,101000,300500,5e+05
"2680",0.7,101000,300500,5e+05
"2681",0.7,101000,300500,5e+05
"2682",0.7,101000,300500,5e+05
"2683",0.7,101000,300500,5e+05
"2684",0.7,101000,300500,5e+05
"2685",0.7,101000,300500,5e+05
"2686",0.7,101000,300500,5e+05
"2687",0.5,24000,30000,36000
"2688",0.5,24000,30000,36000
"2689",0.5,24000,30000,36000
"2690",0.5,24000,30000,36000
"2691",0.5,24000,30000,36000
"2692",0.5,24000,30000,36000
"2693",0.5,24000,30000,36000
"2694",0.5,24000,30000,36000
"2695",0.5,24000,30000,36000
"2696",0.5,24000,30000,36000
"2697",0.5,24000,30000,36000
"2698",0.5,24000,30000,36000
"2699",0.5,24000,30000,36000
"2700",0.5,24000,30000,36000
"2701",0.5,24000,30000,36000
"2702",0.5,24000,30000,36000
"2703",0.5,24000,30000,36000
"2704",0.5,24000,30000,36000
"2705",0.5,24000,30000,36000
"2706",0.5,24000,30000,36000
"2707",0.5,24000,30000,36000
"2708",0.5,48000,60000,72000
"2709",0.5,48000,60000,72000
"2710",0.5,48000,60000,72000
"2711",0.5,48000,60000,72000
"2712",0.5,48000,60000,72000
"2713",0.5,48000,60000,72000
"2714",0.5,48000,60000,72000
"2715",0.5,48000,60000,72000
"2716",0.5,48000,60000,72000
"2717",0.5,48000,60000,72000
"2718",0.5,48000,60000,72000
"2719",0.5,48000,60000,72000
"2720",0.5,48000,60000,72000
"2721",0.6,16000,20000,24000
"2722",0.6,16000,20000,24000
"2723",0.6,16000,20000,24000
"2724",0.6,16000,20000,24000
"2725",0.6,16000,20000,24000
"2726",0.6,16000,20000,24000
"2727",0.6,16000,20000,24000
"2728",0.6,16000,20000,24000
"2729",0.6,16000,20000,24000
"2730",0.6,16000,20000,24000
"2731",0.6,16000,20000,24000
"2732",0.6,16000,20000,24000
"2733",0.6,16000,20000,24000
"2734",0.6,16000,20000,24000
"2735",0.6,16000,20000,24000
"2736",0.6,16000,20000,24000
"2737",0.6,16000,20000,24000
"2738",0.7,40000,50000,60000
"2739",0.7,40000,50000,60000
"2740",0.7,40000,50000,60000
"2741",0.7,40000,50000,60000
"2742",0.7,40000,50000,60000
"2743",0.7,40000,50000,60000
"2744",0.7,40000,50000,60000
"2745",0.7,40000,50000,60000
"2746",0.7,40000,50000,60000
"2747",0.7,40000,50000,60000
"2748",0.7,40000,50000,60000
"2749",0.7,40000,50000,60000
"2750",0.7,40000,50000,60000
"2751",0.7,40000,50000,60000
"2752",0.7,40000,50000,60000
"2753",0.7,40000,50000,60000
"2754",0.7,40000,50000,60000
"2755",0.6,256000,320000,384000
"2756",0.6,256000,320000,384000
"2757",0.6,256000,320000,384000
"2758",0.6,256000,320000,384000
"2759",0.6,256000,320000,384000
"2760",0.6,256000,320000,384000
"2761",0.6,256000,320000,384000
"2762",0.6,256000,320000,384000
"2763",0.6,256000,320000,384000
"2764",0.6,256000,320000,384000
"2765",0.6,256000,320000,384000
"2766",0.6,256000,320000,384000
"2767",0.6,256000,320000,384000
"2768",0.6,256000,320000,384000
"2769",0.6,256000,320000,384000
"2770",0.6,256000,320000,384000
"2771",0.6,256000,320000,384000
"2772",0.8,8000,10000,12000
"2773",0.8,8000,10000,12000
"2774",0.8,8000,10000,12000
"2775",0.8,8000,10000,12000
"2776",0.8,8000,10000,12000
"2777",0.8,8000,10000,12000
"2778",0.8,8000,10000,12000
"2779",0.8,8000,10000,12000
"2780",0.8,8000,10000,12000
"2781",0.8,8000,10000,12000
"2782",0.8,8000,10000,12000
"2783",0.8,8000,10000,12000
"2784",0.8,8000,10000,12000
"2785",0.8,8000,10000,12000
"2786",0.8,8000,10000,12000
"2787",0.8,8000,10000,12000
"2788",0.8,8000,10000,12000
"2789",1,60000,75000,90000
"2790",1,60000,75000,90000
"2791",1,60000,75000,90000
"2792",1,60000,75000,90000
"2793",1,60000,75000,90000
"2794",1,60000,75000,90000
"2795",1,60000,75000,90000
"2796",1,60000,75000,90000
"2797",1,60000,75000,90000
"2798",1,60000,75000,90000
"2799",1,60000,75000,90000
"2800",1,60000,75000,90000
"2801",1,60000,75000,90000
"2802",1,60000,75000,90000
"2803",1,60000,75000,90000
"2804",1,60000,75000,90000
"2805",1,60000,75000,90000
"2806",0.7,32000,40000,48000
"2807",0.7,32000,40000,48000
"2808",0.7,32000,40000,48000
"2809",0.7,32000,40000,48000
"2810",0.7,32000,40000,48000
"2811",0.7,32000,40000,48000
"2812",0.7,32000,40000,48000
"2813",0.7,32000,40000,48000
"2814",0.7,32000,40000,48000
"2815",0.7,32000,40000,48000
"2816",0.7,32000,40000,48000
"2817",0.7,32000,40000,48000
"2818",0.7,32000,40000,48000
"2819",0.7,32000,40000,48000
"2820",0.7,32000,40000,48000
"2821",0.7,32000,40000,48000
"2822",0.7,32000,40000,48000
"2823",0.7,16000,20000,24000
"2824",0.7,16000,20000,24000
"2825",0.7,16000,20000,24000
"2826",0.7,16000,20000,24000
"2827",0.7,16000,20000,24000
"2828",0.7,16000,20000,24000
"2829",0.7,16000,20000,24000
"2830",0.7,16000,20000,24000
"2831",0.7,16000,20000,24000
"2832",0.7,16000,20000,24000
"2833",0.7,16000,20000,24000
"2834",0.7,16000,20000,24000
"2835",0.7,16000,20000,24000
"2836",0.7,16000,20000,24000
"2837",0.7,16000,20000,24000
"2838",0.7,16000,20000,24000
"2839",0.7,16000,20000,24000
"2840",0.5,6400,8000,9600
"2841",0.5,6400,8000,9600
"2842",0.5,6400,8000,9600
"2843",0.5,6400,8000,9600
"2844",0.5,6400,8000,9600
"2845",0.5,6400,8000,9600
"2846",0.5,6400,8000,9600
"2847",0.5,6400,8000,9600
"2848",0.5,6400,8000,9600
"2849",0.5,6400,8000,9600
"2850",0.5,6400,8000,9600
"2851",0.5,6400,8000,9600
"2852",0.5,6400,8000,9600
"2853",0.5,6400,8000,9600
"2854",0.5,6400,8000,9600
"2855",0.5,6400,8000,9600
"2856",0.5,6400,8000,9600
"2857",0.5,40000,50000,60000
"2858",0.5,40000,50000,60000
"2859",0.5,40000,50000,60000
"2860",0.5,40000,50000,60000
"2861",0.5,40000,50000,60000
"2862",0.5,40000,50000,60000
"2863",0.5,40000,50000,60000
"2864",0.5,40000,50000,60000
"2865",0.5,40000,50000,60000
"2866",0.5,40000,50000,60000
"2867",0.5,40000,50000,60000
"2868",0.5,40000,50000,60000
"2869",0.5,40000,50000,60000
"2870",0.5,40000,50000,60000
"2871",0.5,40000,50000,60000
"2872",0.5,40000,50000,60000
"2873",0.5,40000,50000,60000
"2874",0.5,80000,1e+05,120000
"2875",0.5,80000,1e+05,120000
"2876",0.5,80000,1e+05,120000
"2877",0.5,80000,1e+05,120000
"2878",0.5,80000,1e+05,120000
"2879",0.5,80000,1e+05,120000
"2880",0.5,80000,1e+05,120000
"2881",0.5,80000,1e+05,120000
"2882",0.5,80000,1e+05,120000
"2883",0.5,80000,1e+05,120000
"2884",0.5,80000,1e+05,120000
"2885",0.5,80000,1e+05,120000
"2886",0.5,80000,1e+05,120000
"2887",0.5,80000,1e+05,120000
"2888",0.5,80000,1e+05,120000
"2889",0.5,80000,1e+05,120000
"2890",0.5,80000,1e+05,120000
"2891",0.2,12000,15000,18000
"2892",0.2,12000,15000,18000
"2893",0.2,12000,15000,18000
"2894",0.2,12000,15000,18000
"2895",0.2,12000,15000,18000
"2896",0.2,12000,15000,18000
"2897",0.2,12000,15000,18000
"2898",0.2,12000,15000,18000
"2899",0.2,12000,15000,18000
"2900",0.2,12000,15000,18000
"2901",0.2,12000,15000,18000
"2902",0.2,12000,15000,18000
"2903",0.2,12000,15000,18000
"2904",0.2,12000,15000,18000
"2905",0.2,12000,15000,18000
"2906",0.2,12000,15000,18000
"2907",0.2,12000,15000,18000
"2908",0.4,32000,40000,48000
"2909",0.4,32000,40000,48000
"2910",0.4,32000,40000,48000
"2911",0.4,32000,40000,48000
"2912",0.4,32000,40000,48000
"2913",0.4,32000,40000,48000
"2914",0.4,32000,40000,48000
"2915",0.4,32000,40000,48000
"2916",0.4,32000,40000,48000
"2917",0.4,32000,40000,48000
"2918",0.4,32000,40000,48000
"2919",0.4,32000,40000,48000
"2920",0.4,32000,40000,48000
"2921",0.4,32000,40000,48000
"2922",0.4,32000,40000,48000
"2923",0.4,32000,40000,48000
"2924",0.4,32000,40000,48000
"2925",0.5,3200,4000,4800
"2926",0.5,3200,4000,4800
"2927",0.5,3200,4000,4800
"2928",0.5,3200,4000,4800
"2929",0.5,3200,4000,4800
"2930",0.5,3200,4000,4800
"2931",0.5,3200,4000,4800
"2932",0.5,3200,4000,4800
"2933",0.5,3200,4000,4800
"2934",0.5,3200,4000,4800
"2935",0.5,3200,4000,4800
"2936",0.5,3200,4000,4800
"2937",0.5,3200,4000,4800
"2938",0.5,3200,4000,4800
"2939",0.5,3200,4000,4800
"2940",0.5,3200,4000,4800
"2941",0.5,3200,4000,4800
"2942",0.7,32000,40000,48000
"2943",0.7,32000,40000,48000
"2944",0.7,32000,40000,48000
"2945",0.7,32000,40000,48000
"2946",0.7,32000,40000,48000
"2947",0.7,32000,40000,48000
"2948",0.7,32000,40000,48000
"2949",0.7,32000,40000,48000
"2950",0.7,32000,40000,48000
"2951",0.7,32000,40000,48000
"2952",0.7,32000,40000,48000
"2953",0.7,32000,40000,48000
"2954",0.7,32000,40000,48000
"2955",0.7,32000,40000,48000
"2956",0.7,32000,40000,48000
"2957",0.7,32000,40000,48000
"2958",0.7,32000,40000,48000
"2959",0.5,16000,20000,24000
"2960",0.5,16000,20000,24000
"2961",0.5,16000,20000,24000
"2962",0.5,16000,20000,24000
"2963",0.5,16000,20000,24000
"2964",0.5,16000,20000,24000
"2965",0.5,16000,20000,24000
"2966",0.5,16000,20000,24000
"2967",0.5,16000,20000,24000
"2968",0.5,16000,20000,24000
"2969",0.5,16000,20000,24000
"2970",0.5,16000,20000,24000
"2971",0.5,16000,20000,24000
"2972",0.5,16000,20000,24000
"2973",0.5,16000,20000,24000
"2974",0.5,16000,20000,24000
"2975",0.5,16000,20000,24000
"2976",0.1,16000,20000,24000
"2977",0.1,16000,20000,24000
"2978",0.1,16000,20000,24000
"2979",0.1,16000,20000,24000
"2980",0.1,16000,20000,24000
"2981",0.1,16000,20000,24000
"2982",0.1,16000,20000,24000
"2983",0.355,16000,20000,24000
"2984",0.355,16000,20000,24000
"2985",0.355,16000,20000,24000
"2986",0.355,16000,20000,24000
"2987",0.355,16000,20000,24000
"2988",0.355,16000,20000,24000
"2989",0.355,16000,20000,24000
"2990",0.355,16000,20000,24000
"2991",0.355,16000,20000,24000
"2992",0.355,16000,20000,24000
"2993",0.5,64000,80000,96000
"2994",0.5,64000,80000,96000
"2995",0.5,64000,80000,96000
"2996",0.5,64000,80000,96000
"2997",0.5,64000,80000,96000
"2998",0.5,64000,80000,96000
"2999",0.5,64000,80000,96000
"3000",0.5,64000,80000,96000
"3001",0.5,64000,80000,96000
"3002",0.5,64000,80000,96000
"3003",0.5,64000,80000,96000
"3004",0.5,64000,80000,96000
"3005",0.5,64000,80000,96000
"3006",0.5,64000,80000,96000
"3007",0.5,64000,80000,96000
"3008",0.5,64000,80000,96000
"3009",0.5,64000,80000,96000
"3010",0.5,32000,40000,48000
"3011",0.5,32000,40000,48000
"3012",0.5,32000,40000,48000
"3013",0.5,32000,40000,48000
"3014",0.5,32000,40000,48000
"3015",0.5,32000,40000,48000
"3016",0.5,32000,40000,48000
"3017",0.5,32000,40000,48000
"3018",0.5,32000,40000,48000
"3019",0.5,32000,40000,48000
"3020",0.5,32000,40000,48000
"3021",0.5,32000,40000,48000
"3022",0.5,32000,40000,48000
"3023",0.5,32000,40000,48000
"3024",0.5,32000,40000,48000
"3025",0.5,32000,40000,48000
"3026",0.5,32000,40000,48000
"3027",0.8,16000,20000,24000
"3028",0.8,16000,20000,24000
"3029",0.8,16000,20000,24000
"3030",0.8,16000,20000,24000
"3031",0.8,16000,20000,24000
"3032",0.8,16000,20000,24000
"3033",0.8,16000,20000,24000
"3034",0.8,16000,20000,24000
"3035",0.8,16000,20000,24000
"3036",0.8,16000,20000,24000
"3037",0.8,16000,20000,24000
"3038",0.8,16000,20000,24000
"3039",0.8,16000,20000,24000
"3040",0.8,16000,20000,24000
"3041",0.8,16000,20000,24000
"3042",0.8,16000,20000,24000
"3043",0.8,16000,20000,24000
"3044",0.2,3200,4000,4800
"3045",0.2,3200,4000,4800
"3046",0.2,3200,4000,4800
"3047",0.2,3200,4000,4800
"3048",0.2,3200,4000,4800
"3049",0.2,3200,4000,4800
"3050",0.2,3200,4000,4800
"3051",0.2,3200,4000,4800
"3052",0.2,3200,4000,4800
"3053",0.2,3200,4000,4800
"3054",0.2,3200,4000,4800
"3055",0.2,3200,4000,4800
"3056",0.2,3200,4000,4800
"3057",0.2,3200,4000,4800
"3058",0.2,3200,4000,4800
"3059",0.2,3200,4000,4800
"3060",0.2,3200,4000,4800
"3061",0.8,20000,25000,30000
"3062",0.8,20000,25000,30000
"3063",0.8,20000,25000,30000
"3064",0.8,20000,25000,30000
"3065",0.8,20000,25000,30000
"3066",0.8,20000,25000,30000
"3067",0.8,20000,25000,30000
"3068",0.8,20000,25000,30000
"3069",0.8,20000,25000,30000
"3070",0.8,20000,25000,30000
"3071",0.8,20000,25000,30000
"3072",0.8,20000,25000,30000
"3073",0.8,20000,25000,30000
"3074",0.8,20000,25000,30000
"3075",0.8,20000,25000,30000
"3076",0.8,20000,25000,30000
"3077",0.8,20000,25000,30000
"3078",0.5,8000,10000,12000
"3079",0.5,8000,10000,12000
"3080",0.5,8000,10000,12000
"3081",0.5,8000,10000,12000
"3082",0.5,8000,10000,12000
"3083",0.5,8000,10000,12000
"3084",0.5,8000,10000,12000
"3085",0.5,8000,10000,12000
