"","p","b","e","w"
"165",0.25,150000,450000,726600
"166",0.25,160000,4e+05,654555
"167",0.25,2e+05,4e+05,582486
"168",0.2,2e+05,450000,734373
"169",0.6,3e+05,9e+05,2500000
"170",0.6,3e+05,9e+05,2500000
"171",0.6,3e+05,9e+05,2500000
"172",0.6,3e+05,9e+05,2500000
"173",0.6,3e+05,9e+05,2500000
"174",0.6,3e+05,9e+05,2500000
"175",0.6,3e+05,9e+05,2500000
"176",0.6,3e+05,9e+05,2500000
"177",0.6,3e+05,9e+05,2500000
"178",0.6,3e+05,9e+05,2500000
"179",0.6,3e+05,9e+05,2500000
"180",0.6,3e+05,9e+05,2500000
"181",0.6,3e+05,9e+05,2500000
"182",0.6,3e+05,9e+05,2500000
"183",0.6,3e+05,9e+05,2500000
"184",0.6,3e+05,9e+05,2500000
"185",0.6,3e+05,9e+05,2500000
"186",0.35,80000,180000,315992
"187",0.2,150000,3e+05,537421
"188",0.15,2e+05,4e+05,590852
"189",0.25,1e+05,2e+05,363300
"190",0.65,61450,76812,107537
"191",0.65,53006,79510,106013
"192",0.65,51991,77986,103982
"193",0.65,51991,77986,103982
"194",0.65,51991,77986,103982
"195",0.65,51991,77986,103982
"196",0.65,51991,77986,103982
"197",0.65,51991,77986,103982
"198",0.5,320000,4e+05,480000
"199",0.5,320000,4e+05,480000
"200",0.5,320000,4e+05,480000
"201",0.5,320000,4e+05,480000
"202",0.5,320000,4e+05,480000
"203",0.5,320000,4e+05,480000
"204",0.5,320000,4e+05,480000
"205",0.5,320000,4e+05,480000
"206",0.5,320000,4e+05,480000
"207",0.5,320000,4e+05,480000
"208",0.5,320000,4e+05,480000
"209",0.5,320000,4e+05,480000
"210",0.5,320000,4e+05,480000
"211",0.5,320000,4e+05,480000
"212",0.5,320000,4e+05,480000
"213",0.5,320000,4e+05,480000
"214",0.5,320000,4e+05,480000
"215",0.35,50000,120000,250000
"216",0.7,25000,50000,1e+05
"217",0.7,25000,50000,1e+05
"218",0.7,25000,50000,1e+05
"219",0.7,25000,50000,1e+05
"220",0.7,25000,50000,1e+05
"221",0.7,25000,50000,1e+05
"222",0.7,25000,50000,1e+05
"223",0.7,25000,50000,1e+05
"224",0.7,25000,50000,1e+05
"225",0.7,25000,50000,1e+05
"226",0.7,25000,50000,1e+05
"227",0.7,25000,50000,1e+05
"228",0.7,25000,50000,1e+05
"229",0.7,25000,50000,1e+05
"230",0.7,25000,50000,1e+05
"231",0.7,25000,50000,1e+05
"232",0.7,25000,50000,1e+05
"233",0.25,50000,150000,282909
"234",0.35,40000,80000,156000
"235",0.35,40000,80000,156000
"236",0.35,40000,80000,144107
"237",0.35,50000,1e+05,186384
"238",0.15,50000,150000,293710
"239",0.35,20000,50000,124025
"240",0.5,356830,446034,535241
"241",0.5,356830,446034,535241
"242",0.5,356830,446034,535241
"243",0.5,356830,446034,535241
"244",0.5,356830,446034,535241
"245",0.5,356830,446034,535241
"246",0.8,3e+05,1250000,2500000
"247",0.35,15000,50000,103472
"248",0.3,10000,20000,44729
"249",0.63,501000,1250500,2e+06
"250",0.63,501000,1250500,2e+06
"251",0.63,501000,1250500,2e+06
"252",0.63,501000,1250500,2e+06
"253",0.63,501000,1250500,2e+06
"254",0.63,501000,1250500,2e+06
"255",0.63,501000,1250500,2e+06
"256",0.63,501000,1250500,2e+06
"257",0.63,501000,1250500,2e+06
"258",0.63,501000,1250500,2e+06
"259",0.63,501000,1250500,2e+06
"260",0.63,501000,1250500,2e+06
"261",0.37,210051,300160,300600
"262",0,101000,300500,5e+05
"263",0,101000,300500,5e+05
"264",0,101000,300500,5e+05
"265",0,101000,300500,5e+05
"266",0,101000,300500,5e+05
"267",0,101000,300500,5e+05
"268",0,101000,300500,5e+05
"269",0,101000,300500,5e+05
"270",0,101000,300500,5e+05
"271",0,101000,300500,5e+05
"272",0,101000,300500,5e+05
"273",0,101000,300500,5e+05
"274",0.63,501000,1250500,2e+06
"275",0.63,501000,1250500,2e+06
"276",0.63,501000,1250500,2e+06
"277",0.63,501000,1250500,2e+06
"278",0.63,501000,1250500,2e+06
"279",0.63,501000,1250500,2e+06
"280",0.63,501000,1250500,2e+06
"281",0.63,501000,1250500,2e+06
"282",0.63,501000,1250500,2e+06
"283",0.63,501000,1250500,2e+06
"284",0.63,501000,1250500,2e+06
"285",0.63,501000,1250500,2e+06
"286",0.63,501000,1250500,2e+06
"287",0.63,501000,1250500,2e+06
"288",0.63,501000,1250500,2e+06
"289",0.63,501000,1250500,2e+06
"290",0.63,501000,1250500,2e+06
"291",0.25,1045100,3135300,9510410
"292",0.25,1045100,3135300,9510410
"293",0.25,1045100,3135300,9510410
"294",0.25,1045100,3135300,9510410
"295",0.25,1045100,3135300,9510410
"296",0.25,1045100,3135300,9510410
"297",0.5,3932792,4915990,5899188
"298",0.5,3932792,4915990,5899188
"299",0.5,7711487.66,7711487.66,7711487.66
"300",0.5,7711487.66,7711487.66,7711487.66
"301",0.5,7711487.66,7711487.66,7711487.66
"302",0.5,7711487.66,7711487.66,7711487.66
"303",0.5,7711487.66,7711487.66,7711487.66
"304",0.5,7711487.66,7711487.66,7711487.66
"305",0.5,7711487.66,7711487.66,7711487.66
"306",0.5,7711487.66,7711487.66,7711487.66
"307",0.5,7711487.66,7711487.66,7711487.66
"308",0.5,7711487.66,7711487.66,7711487.66
"309",0.5,7711487.66,7711487.66,7711487.66
"310",0.5,7711487.66,7711487.66,7711487.66
"311",0.5,7711487.66,7711487.66,7711487.66
"312",0.5,7711487.66,7711487.66,7711487.66
"313",0.5,7711487.66,7711487.66,7711487.66
"314",0.6,1e+06,2100000,4419000
"315",0.6,1e+06,2100000,4419000
"316",0.6,1e+06,2100000,4419000
"317",0.6,1e+06,2100000,4419000
"318",0.6,1e+06,2100000,4419000
"319",0.6,1e+06,2100000,4419000
"320",0.6,1e+06,2100000,4419000
"321",0.6,1e+06,2100000,4419000
"322",0.6,1e+06,2100000,4419000
"323",0.6,1e+06,2100000,4419000
"324",0.6,1e+06,2100000,4419000
"325",0.6,1e+06,2100000,4419000
"326",0.6,1e+06,2100000,4419000
"327",0.6,1e+06,2100000,4419000
"328",0.6,1e+06,2100000,4419000
"329",0.6,1e+06,2100000,4419000
"330",0.6,1e+06,2100000,4419000
"331",0,11720265,11720265,11720265
"332",0,11720265,11720265,11720265
"333",0,11720265,11720265,11720265
"334",0,11720265,11720265,11720265
"335",0,2e+06,2e+06,2e+06
"336",0,2e+06,2e+06,2e+06
"337",0,3e+06,3e+06,3e+06
"338",0,3e+06,3e+06,3e+06
"339",0,4e+06,4e+06,4e+06
"340",0,4e+06,4e+06,4e+06
"341",0.8,3e+06,3e+06,3e+06
"342",0.8,3e+06,3e+06,3e+06
"343",0.8,3e+06,3e+06,3e+06
"344",0,1e+06,1e+06,1e+06
"345",0,1e+06,1e+06,1e+06
"346",0.9,1e+06,1e+06,1e+06
"347",0.9,1e+06,1e+06,1e+06
"348",0.9,1e+06,1e+06,1e+06
"349",0,1309843,1309843,1309843
"350",0,1309843,1309843,1309843
"351",0,1665994,1665994,1665994
"352",0,1665994,1665994,1665994
"353",0,2033354,2033354,2033354
"354",0,2033354,2033354,2033354
"355",0,1.5e+07,1.5e+07,1.5e+07
"356",0,1.5e+07,1.5e+07,1.5e+07
"357",0,432783,432783,432783
"358",0,432783,432783,432783
"359",0,432783,432783,432783
"360",0,432783,432783,432783
"361",0,432783,432783,432783
"362",0,432783,432783,432783
"363",0,432783,432783,432783
"364",0,432783,432783,432783
"365",0,432783,432783,432783
"366",0,432783,432783,432783
"367",0,432783,432783,432783
"368",0,432783,432783,432783
"369",0,432783,432783,432783
"370",0,432783,432783,432783
"371",0,432783,432783,432783
"372",0,432783,432783,432783
"373",0,432783,432783,432783
"374",0,432783,432783,432783
"375",0,432783,432783,432783
"376",0,1975000,1975000,1975000
"377",0,1975000,1975000,1975000
"378",0,2e+06,2e+06,2e+06
"379",0,2e+06,2e+06,2e+06
"380",0,1743064,1743064,1743064
"381",0,1743064,1743064,1743064
"382",0,1743064,1743064,1743064
"383",0,1743064,1743064,1743064
"384",0,1743064,1743064,1743064
"385",0,1743064,1743064,1743064
"386",0,1526788,1526788,1526788
"387",0,1526788,1526788,1526788
"388",0,1875778,1875778,1875778
"389",0,1875778,1875778,1875778
"390",0,50000,50000,50000
"391",0,50000,50000,50000
"392",0,1e+05,1e+05,1e+05
"393",0,1e+05,1e+05,1e+05
"394",0.5,11720265,11720265,11720265
"395",0.5,11720265,11720265,11720265
"396",0.5,11720265,11720265,11720265
"397",0.5,11720265,11720265,11720265
"398",0.5,11720265,11720265,11720265
"399",0.5,11720265,11720265,11720265
"400",0.5,11720265,11720265,11720265
"401",0.5,11720265,11720265,11720265
"402",0.5,11720265,11720265,11720265
"403",0.5,11720265,11720265,11720265
"404",0.5,11720265,11720265,11720265
"405",0.5,11720265,11720265,11720265
"406",0.5,11720265,11720265,11720265
"407",0.5,11720265,11720265,11720265
"408",0.5,11720265,11720265,11720265
"409",0.5,11720265,11720265,11720265
"410",0.5,11720265,11720265,11720265
"411",0.33,11720265,11720265,11720265
"412",0.33,11720265,11720265,11720265
"413",0.33,11720265,11720265,11720265
"414",0.33,11720265,11720265,11720265
"415",0.33,11720265,11720265,11720265
"416",0.33,11720265,11720265,11720265
"417",0.33,11720265,11720265,11720265
"418",0.33,11720265,11720265,11720265
"419",0.33,11720265,11720265,11720265
"420",0.33,11720265,11720265,11720265
"421",0.33,11720265,11720265,11720265
"422",0.33,11720265,11720265,11720265
"423",0.33,11720265,11720265,11720265
"424",0.33,11720265,11720265,11720265
"425",0.33,11720265,11720265,11720265
"426",0.33,11720265,11720265,11720265
"427",0.33,11720265,11720265,11720265
"428",0.33,11720265,11720265,11720265
"429",0.33,11720265,11720265,11720265
"430",0.33,11720265,11720265,11720265
"431",0.33,11306814,11306814,11306814
"432",0.33,11306814,11306814,11306814
"433",0.33,11306814,11306814,11306814
"434",0.5,1.3e+07,1.3e+07,1.3e+07
"435",0.5,1.3e+07,1.3e+07,1.3e+07
"436",0.5,3e+06,4e+06,4500000
"437",0.8,4e+06,4e+06,4e+06
"438",0.8,4e+06,4e+06,4e+06
"439",0.8,4e+06,4e+06,4e+06
"440",0.5,43000,43000,43000
"441",0.5,43000,43000,43000
"442",0.5,43000,43000,43000
"443",0.5,43000,43000,43000
"444",0.5,43000,43000,43000
"445",0.5,43000,43000,43000
"446",0.5,43000,43000,43000
"447",0.5,43000,43000,43000
"448",0.5,43000,43000,43000
"449",0.5,43000,43000,43000
"450",0.5,43000,43000,43000
"451",0.5,43000,43000,43000
"452",0.5,43000,43000,43000
"453",0.5,43000,43000,43000
"454",0.5,43000,43000,43000
"455",0.5,43000,43000,43000
"456",0.5,43000,43000,43000
"457",0.5,1e+06,1e+06,1e+06
"458",0.5,1e+06,1e+06,1e+06
"459",0.5,80000,1e+05,120000
"460",0.6,2e+05,2e+05,2e+05
"461",0.6,2e+05,2e+05,2e+05
"462",0.6,2e+05,2e+05,2e+05
"463",0.5,6e+05,6e+05,6e+05
"464",0.5,6e+05,6e+05,6e+05
"465",0.5,6e+05,6e+05,6e+05
"466",0.5,6e+05,6e+05,6e+05
"467",0.5,6e+05,6e+05,6e+05
"468",0.5,6e+05,6e+05,6e+05
"469",0.5,6e+05,6e+05,6e+05
"470",0.5,6e+05,6e+05,6e+05
"471",0.5,6e+05,6e+05,6e+05
"472",0.5,6e+05,6e+05,6e+05
"473",0.5,6e+05,6e+05,6e+05
"474",0.5,6e+05,6e+05,6e+05
"475",0.5,6e+05,6e+05,6e+05
"476",0.5,6e+05,6e+05,6e+05
"477",0.5,6e+05,6e+05,6e+05
"478",0.5,6e+05,6e+05,6e+05
"479",0.5,6e+05,6e+05,6e+05
"480",0.5,1200000,1200000,1200000
"481",0.5,1200000,1200000,1200000
"482",0.5,1200000,1200000,1200000
"483",0.9,620000,620000,620000
"484",0.9,620000,620000,620000
"485",0.9,620000,620000,620000
"486",0.5,50000,50000,50000
"487",0.5,50000,50000,50000
"488",0.5,50000,50000,50000
"489",0.5,50000,50000,50000
"490",0.5,50000,50000,50000
"491",0.5,50000,50000,50000
"492",0.5,50000,50000,50000
"493",0.5,50000,50000,50000
"494",0.5,50000,50000,50000
"495",0.5,50000,50000,50000
"496",0.5,50000,50000,50000
"497",0.5,50000,50000,50000
"498",0.5,50000,50000,50000
"499",0.5,50000,50000,50000
"500",0.5,50000,50000,50000
"501",0.5,50000,50000,50000
"502",0.5,50000,50000,50000
"503",0.5,40000,40000,40000
"504",0.5,40000,40000,40000
"505",0.5,40000,40000,40000
"506",0.5,40000,40000,40000
"507",0.5,40000,40000,40000
"508",0.5,40000,40000,40000
"509",0.5,40000,40000,40000
"510",0.5,40000,40000,40000
"511",0.5,40000,40000,40000
"512",0.5,40000,40000,40000
"513",0.5,40000,40000,40000
"514",0.5,40000,40000,40000
"515",0.5,40000,40000,40000
"516",0.5,40000,40000,40000
"517",0.5,40000,40000,40000
"518",0.5,40000,40000,40000
"519",0.5,40000,40000,40000
"520",0.5,150000,150000,150000
"521",0.5,150000,150000,150000
"522",0.2,1800000,2e+06,4800000
"523",0.6,4e+06,4e+06,4e+06
"524",0.6,4e+06,4e+06,4e+06
"525",0.6,4e+06,4e+06,4e+06
"526",0.5,3e+06,3e+06,3e+06
"527",0.5,3e+06,3e+06,3e+06
